Date,AAPL,MSFT,NVDA,AMZN,TSLA
12/19/2023,194.5679016,365.4580078,49.51597977,153.7899933,257.2200012
12/20/2023,192.4833374,362.8731689,48.02563858,152.1199951,247.1399994
12/21/2023,192.3351135,365.7321167,48.90307999,153.8399963,254.5
12/22/2023,191.2681122,366.7503967,48.74335861,153.4199982,252.5399933
12/26/2023,190.7247772,366.8287048,49.19156265,153.4100037,256.6099854
12/27/2023,190.8235168,366.2510986,49.32931519,153.3399963,261.4400024
12/28/2023,191.2483978,367.4357605,49.43413162,153.3800049,253.1799927
12/29/2023,190.2110291,368.1798706,49.43413162,151.9400024,248.4799957
1/2/2024,183.4039917,363.1179504,48.08253479,149.9299927,248.4199982
1/3/2024,182.0307617,362.8536072,47.48459625,148.4700012,238.4499969
1/4/2024,179.7189331,360.2491455,47.91283417,144.5700073,237.9299927
1/5/2024,178.9977417,360.0631104,49.00988007,145.2400055,237.4900055
1/8/2024,183.3249359,366.8580627,52.16028595,149.1000061,240.4499969
1/9/2024,182.9100189,367.9351196,53.04571152,151.3699951,234.9600067
1/10/2024,183.9473877,374.7691956,54.25356293,153.7299957,233.9400024
1/11/2024,183.3546295,376.5903625,54.72472763,155.1799927,227.2200012
1/12/2024,183.6806183,380.3500671,54.61292267,154.6199951,218.8899994
1/16/2024,181.4182281,382.1124268,56.28196335,153.1600037,219.9100037
1/17/2024,180.4796753,381.3291626,55.95354462,151.7100067,215.5500031
1/18/2024,186.3580017,385.6371765,57.00567245,153.5,211.8800049
1/19/2024,189.2527161,390.336853,59.38544464,155.3399963,212.1900024
1/22/2024,191.554657,388.2220154,59.54815674,154.7799988,208.8000031
1/23/2024,192.8291016,390.5620117,59.76677322,156.0200043,209.1399994
1/24/2024,192.1572876,394.1455383,61.25312424,156.8699951,207.8300018
1/25/2024,191.8312683,396.4072876,61.50767136,157.75,182.6300049
1/26/2024,190.1023407,395.4868774,60.92271423,159.1199951,183.25
1/29/2024,189.4206696,401.1558533,62.35416794,161.2599945,190.9299927
1/30/2024,185.775116,400.049469,62.66261673,159,191.5899963
1/31/2024,182.1789246,389.2696533,61.41783524,155.1999969,187.2899933
2/1/2024,184.6093292,395.3400574,62.91516495,159.2799988,188.8600006
2/2/2024,183.611496,402.6245117,66.0426178,171.8099976,187.9100037
2/5/2024,185.4194489,397.1708984,69.208992,170.3099976,181.0599976
2/6/2024,187.0199127,397.0143433,68.1019516,169.1499939,185.1000061
2/7/2024,187.1286011,405.3953247,69.974617,170.5299988,187.5800018
2/8/2024,186.0517426,405.4541016,69.51743317,169.8399963,189.5599976
2/9/2024,186.8134308,411.7594604,72.00502014,174.4499969,193.5700073
2/12/2024,185.1317444,406.5800781,72.11980438,172.3399963,188.1300049
2/13/2024,183.0444946,397.8269348,72.00002289,168.6399994,184.0200043
2/14/2024,182.1641235,401.6720886,73.76888275,170.9799957,188.7100067
2/15/2024,181.8772125,398.7980042,72.52909088,169.8000031,200.4499969
2/16/2024,180.3439636,396.3457642,72.48415375,169.5099945,199.9499969
2/20/2024,179.602005,395.1000061,69.32878113,167.0800018,193.7599945
2/21/2024,180.3538361,394.5016479,67.35228729,168.5899963,194.7700043
2/22/2024,182.3817291,403.790802,78.39866638,174.5800018,197.4100037
2/23/2024,180.5516663,402.5058899,78.67715454,174.9900055,191.9700012
2/26/2024,179.2063599,399.7593079,78.95167542,174.7299957,199.3999939
2/27/2024,180.6605377,399.700531,78.56136322,173.5399933,199.7299957
2/28/2024,179.4635468,399.9359436,77.52519989,173.1600037,202.0399933
2/29/2024,178.8007965,405.7428894,78.97163391,176.7599945,201.8800049
3/1/2024,177.7225342,407.5674133,82.13300323,178.2200012,202.6399994
3/4/2024,173.2117157,406.9984741,85.08576202,177.5800018,188.1399994
3/5/2024,168.2853851,394.962677,85.81550598,174.1199951,180.7400055
3/6/2024,167.2962036,394.4134216,88.54676056,173.5099945,176.5399933
3/7/2024,167.1774902,401.3287659,92.50892639,176.8200073,178.6499939
3/8/2024,168.8888397,398.4645081,87.37679291,175.3500061,175.3399963
3/11/2024,170.8870544,396.7970276,85.6258316,171.9600067,177.7700043
3/12/2024,171.3618469,407.351532,91.75422668,175.3899994,177.5399933
3/13/2024,169.2845001,407.1749878,90.73099518,176.5599976,169.4799957
3/14/2024,171.1343536,417.1017761,87.79209137,178.75,162.5
3/15/2024,170.7584534,408.4698181,87.68527222,174.4199982,163.5700073
