Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2023-09-01,321.138427734375,324.3922056211829,319.3014478601216,323.7277749745022,14942000
2023-09-05,325.91644287109375,327.1867092747721,321.13836974277154,321.47058500611996,18553900
2023-09-06,325.2618408203125,326.80566842614127,322.62362005663084,325.7503980121673,17535800
2023-09-07,322.35986328125,325.4572996917217,321.4999977101508,323.7082861250948,18381000
2023-09-08,326.62005615234375,328.46681688735,321.9201377501079,322.5357246617766,19530100
2023-09-11,330.20599365234375,330.67501922954517,327.7534273306666,329.52200174632014,16583300
2023-09-12,324.17724609375,329.08237965274225,323.8939043767627,328.1345774558951,17565500
2023-09-13,328.36907958984375,329.141008354495,323.59100543664357,323.7277859536388,16544400
2023-09-14,330.9486389160156,333.05917964974554,328.86738060055865,331.388322477558,20267000
2023-09-15,322.6627197265625,329.6783939916595,322.1057573596053,329.20939816193993,37679800
2023-09-18,321.52923583984375,322.83856545069517,318.8910152474716,320.29806225418173,16834200
2023-09-19,321.128662109375,321.85174708859677,317.0834237409372,318.7054373268487,16505900
2023-09-20,313.42901611328125,322.0471733986375,313.17498661327795,321.9690173569062,21436500
2023-09-21,312.2173767089844,317.9041899225686,307.79104947595397,311.95356654433346,35560400
2023-09-22,309.7550964355469,314.09348747067116,308.91476240736046,313.96645780671054,21447900
2023-09-25,310.2729797363281,310.400009405929,307.7911002925378,309.3447089347615,17836000
2023-09-26,304.99652099609375,308.650919524038,302.92501329864484,307.918083681108,26297600
2023-09-27,305.6316833496094,307.10710611503083,302.6026221330473,305.15287691972253,19410100
2023-09-28,306.4621276855469,308.2600143272614,302.36801659248266,303.87275106769863,19683600
2023-09-29,308.5238342285156,312.15870054663463,307.771466967037,310.4780627905331,24147300
2023-10-02,314.4353942871094,314.523360821819,307.96690188868587,309.04173366618016,20570000
2023-10-03,306.2179260253906,314.03484198855955,304.0877937628594,313.48763043750324,21033500
2023-10-04,311.660400390625,312.71570064039577,306.8139213204077,306.84323355961436,20720100
2023-10-05,312.05120849609375,312.6570444101147,307.6932870679997,311.7873983700248,16965600
2023-10-06,319.7704772949219,321.65630098463043,309.06128169271835,309.3055602997531,25673600
2023-10-09,322.27191162109375,322.7409074969346,315.7838570263933,317.3179339483483,19891200
2023-10-10,320.87457275390625,323.5225441036011,320.1710492794707,323.3857337911902,20557100
2023-10-11,324.8124694824219,325.2033093838926,321.6075345796852,323.6301392700687,20063200
2023-10-12,323.58123779296875,325.99471177384464,321.1970760539996,323.0047438226922,19313100
2023-10-13,320.229736328125,326.19011074612195,318.8910644547027,324.7733126546174,21072400
2023-10-16,325.0273132324219,328.4472132631376,323.03399172229655,323.47367526332005,22158000
2023-10-17,324.4606018066406,325.8285559881701,319.91702585909127,322.0471280716989,18338500
2023-10-18,322.5552062988281,327.909803713785,320.78663169696983,324.88074324116036,23153600
2023-10-19,323.73748779296875,329.17024042475526,323.3368673878529,324.54847946828954,25052100
2023-10-20,319.1939697265625,324.32382025517603,318.0018889823848,324.1283854502297,25027700
2023-10-23,321.7833557128906,325.11531975085603,316.9661883632888,318.0214589074995,24374700
2023-10-24,322.9656982421875,324.2457160250493,320.1027595259651,323.71806577420506,31153600
2023-10-25,332.8735656738281,338.2770069491987,329.8933489527061,337.1239893295993,55053800
2023-10-26,320.38604736328125,333.8115893601042,319.45777677753637,332.7465382675552,37828500
2023-10-27,322.2621154785156,329.0139799295623,320.8843805209721,322.8679216685348,29856500
2023-10-30,329.5904541015625,331.6814932194884,324.23585648353105,325.77971392594014,22828100
2023-10-31,330.3721008300781,331.24174686809175,327.0303866312015,331.09518568729226,20265300
2023-11-01,338.1499938964844,339.46910432501784,331.8769062105877,332.01371654234873,28158800
2023-11-02,340.3485107421875,340.84681883225545,336.879736569886,339.29321044253436,24348100
2023-11-03,344.72589111328125,346.27952899199676,339.38107504059997,341.62845567867816,23637700
2023-11-06,348.3706359863281,349.35753118619317,345.2634189928444,345.36113640793855,23828300
2023-11-07,352.2790222167969,354.164845685057,349.44539667177366,351.17487827159056,25833900
2023-11-08,354.8879699707031,355.54261993465985,352.2985928972702,353.4027369651116,26767800
2023-11-09,352.4353942871094,356.44156927918397,352.1129298373234,354.0085341532929,24847300
2023-11-10,361.2099304199219,361.63008249841977,352.8067397541227,353.2171111454846,28042100
2023-11-13,358.28826904296875,360.0373120121586,357.52612107178936,359.7930334339709,19986500
2023-11-14,361.796142578125,363.4377174527681,358.9429851939613,362.5192275200011,27683900
2023-11-15,361.9430236816406,365.3306930182784,359.4365063311856,363.5193564786247,26860100
2023-11-16,368.30718994140625,368.48342035388106,362.4423744800686,363.20606948048294,27182300
2023-11-17,362.1192626953125,366.54477320500723,359.32882848725313,365.80064944827456,40157000
2023-11-20,369.55059814453125,370.95070053235196,363.24520725093254,363.46060991672704,52465100
2023-11-21,365.27197265625,368.3561243217149,363.3627202596963,367.8176325584251,28423100
2023-11-22,369.9520263671875,371.85147806167527,367.1322205576516,370.0988850281661,23345300
2023-11-24,369.5408020019531,370.0695230751344,367.2986899991627,369.44288626548433,10176600
2023-11-27,370.6961669921875,372.68376401378913,368.33656782207504,368.90443134275364,22179200
2023-11-28,374.70068359375,374.994400937648,370.25557188472965,370.44160282909473,20453100
2023-11-29,370.9311218261719,376.2671856758015,369.5505906614915,375.738494499301,28963400
2023-11-30,370.9898986816406,372.1452267516367,367.6218003340975,370.578664516551,30554400
2023-12-01,366.681884765625,370.2555853515813,363.5487602115402,368.884854564053,33040500
2023-12-04,361.424072265625,361.7961042236622,355.31448343294096,361.3848999985792,32063300
2023-12-05,364.7334289550781,365.28172122334854,357.9776614584204,358.7903292029664,23065000
2023-12-06,361.0911865234375,366.35873644463544,360.3372921206186,365.73212951183393,21182100
2023-12-07,363.1962890625,363.68583789268007,358.66306211428184,360.5331422311326,23118900
2023-12-08,366.4077453613281,366.6329187107603,360.53315912391304,361.4828850941495,20154400
2023-12-11,363.5389404296875,363.83268764840955,358.44765064841334,360.77790780370736,27708800
2023-12-12,366.5545654296875,366.59373770012405,362.7164896784692,363.0983520859286,24838300
2023-12-13,366.54473876953125,369.74640682649743,363.0199816736299,368.16024372357776,30955500
2023-12-14,358.28125,365.94760248987683,356.51888591572833,365.50699652896213,43277500
2023-12-15,362.9808654785156,364.6159417445296,358.6238691889497,359.1819619943408,78502300
2023-12-18,364.8607177734375,365.2034079122954,360.97369907312446,361.72762335454945,21802900
2023-12-19,365.4580078125,365.4580078125,362.1094806161989,363.7249858043668,20603700
2023-12-20,362.8731689453125,368.1700908565403,362.78505374172363,367.1616214647713,26316700
2023-12-21,365.73211669921875,366.5839268091088,362.3052751851502,364.77259031859234,17708000
2023-12-22,366.7503967285156,367.3378613138971,364.91948884316713,365.86921479028837,17107500
2023-12-26,366.8287048339844,369.0610461329153,365.69294804965995,367.1615944273694,12673100
2023-12-27,366.2510986328125,367.2203958335403,365.0174259193831,365.8790367110042,14905400
2023-12-28,367.4357604980469,368.5910885400905,366.33917592392487,367.5238756999293,14327000
2023-12-29,368.17987060546875,369.2764551389083,365.67338313483896,368.140698335078,18730800
